symbol,date,universe,dayTypeHint,openType,gap,volatility,participation,catalyst,relative,gapPct,rangeAtr,rvol,closeLoc,retPct,spyRetPct,status,notes
AAPL,2026-07-17,single_name,normal,open_rejection_reverse,gap_and_fade,vol_normal,rvol_normal,,leader,-0.38,0.72,0.95,0.79,0.14,-0.99,confirmed,confirmed propose hint
NVDA,2026-07-17,single_name,neutral,open_rejection_reverse,gap_and_go,vol_normal,rvol_normal,,laggard,-2.41,1.18,0.96,0.56,-2.21,-0.99,confirmed,confirmed propose hint
QQQ,2026-07-17,tape_index,neutral,open_auction,gap_and_go,vol_normal,rvol_normal,,laggard,-2.03,1.05,1.29,0.55,-1.50,-0.99,confirmed,confirmed propose hint
SPY,2026-07-17,tape_index,neutral,open_auction,gap_and_go,vol_normal,rvol_normal,,,-1.15,0.84,1.14,0.38,-0.99,-0.99,confirmed,confirmed neutral — mid-profile close on gap down (visual guide l1-neutral-spy)
TSLA,2026-07-17,single_name,non_trend,open_auction,gap_and_go,vol_contract,rvol_normal,,laggard,-2.37,0.45,0.70,0.43,-2.61,-0.99,confirmed,confirmed propose hint
AAPL,2026-07-16,single_name,normal,open_test_drive,gap_none,vol_normal,rvol_normal,,leader,0.16,0.91,0.97,0.82,1.76,-0.54,confirmed,confirmed propose hint
NVDA,2026-07-16,single_name,normal,open_test_drive,gap_and_go,vol_normal,rvol_normal,,laggard,-1.10,0.75,0.85,0.30,-2.40,-0.54,confirmed,confirmed propose hint
QQQ,2026-07-16,tape_index,normal,open_auction,gap_and_go,vol_normal,rvol_normal,,laggard,-0.80,0.76,0.94,0.30,-1.64,-0.54,confirmed,confirmed propose hint
SPY,2026-07-16,tape_index,neutral,open_rejection_reverse,gap_and_go,vol_normal,rvol_normal,,,-0.27,0.80,0.85,0.42,-0.54,-0.54,confirmed,confirmed propose hint
TSLA,2026-07-16,single_name,non_trend,open_rejection_reverse,gap_partial,vol_contract,rvol_low,,idiosyncratic,-0.53,0.52,0.68,0.57,-0.86,-0.54,confirmed,confirmed propose hint
AAPL,2026-07-15,single_name,trend,open_drive,gap_and_go,vol_normal,rvol_normal,,leader,0.88,1.20,0.95,0.89,4.01,0.40,confirmed,confirmed trend — elongated up day (visual guide l1-trend-aapl)
NVDA,2026-07-15,single_name,normal,open_test_drive,gap_none,vol_normal,rvol_normal,,beta_proxy,0.08,1.09,0.86,0.83,0.33,0.40,confirmed,confirmed propose hint
QQQ,2026-07-15,tape_index,neutral,open_drive,gap_and_fade,vol_normal,rvol_normal,,laggard,0.58,0.95,0.76,0.53,-0.27,0.40,confirmed,confirmed propose hint
SPY,2026-07-15,tape_index,non_trend,open_auction,gap_partial,vol_normal,rvol_normal,,,0.32,0.62,0.79,0.86,0.40,0.40,confirmed,confirmed propose hint
TSLA,2026-07-15,single_name,normal,open_test_drive,gap_and_fade,vol_normal,rvol_normal,,laggard,0.81,0.84,0.72,0.24,-0.43,0.40,confirmed,confirmed propose hint
AAPL,2026-07-14,single_name,non_trend,open_test_drive,gap_and_go,vol_contract,rvol_low,,laggard,-1.12,0.48,0.56,0.69,-0.77,0.36,confirmed,confirmed propose hint
NVDA,2026-07-14,single_name,trend,open_auction,gap_and_go,vol_normal,rvol_normal,,leader,2.29,1.26,0.86,0.91,4.06,0.36,confirmed,confirmed propose hint
QQQ,2026-07-14,tape_index,non_trend,open_auction,gap_and_go,vol_contract,rvol_low,,leader,1.19,0.53,0.67,0.67,1.12,0.36,confirmed,confirmed propose hint
SPY,2026-07-14,tape_index,non_trend,open_auction,gap_partial,vol_contract,rvol_low,,,0.23,0.53,0.62,0.68,0.36,0.36,confirmed,confirmed non_trend — narrow balance (visual guide l1-non-trend-spy)
TSLA,2026-07-14,single_name,non_trend,open_auction,gap_partial,vol_contract,rvol_low,,beta_proxy,1.09,0.40,0.51,0.19,0.36,0.36,confirmed,confirmed propose hint
AAPL,2026-07-13,single_name,normal,open_test_drive,gap_and_go,vol_normal,rvol_low,,leader,0.54,0.84,0.67,0.20,0.63,-0.77,confirmed,confirmed propose hint
NVDA,2026-07-13,single_name,normal,open_test_drive,gap_and_go,vol_normal,rvol_normal,,laggard,-1.15,1.09,0.83,0.07,-3.52,-0.77,confirmed,confirmed propose hint
QQQ,2026-07-13,tape_index,non_trend,open_auction,gap_and_go,vol_contract,rvol_normal,,laggard,-1.07,0.54,0.80,0.19,-1.90,-0.77,confirmed,confirmed propose hint
SPY,2026-07-13,tape_index,non_trend,open_auction,gap_and_go,vol_normal,rvol_normal,,,-0.33,0.63,0.75,0.20,-0.77,-0.77,confirmed,confirmed propose hint
TSLA,2026-07-13,single_name,normal,open_drive,gap_and_go,vol_normal,rvol_normal,,laggard,-0.77,0.71,0.71,0.24,-3.19,-0.77,confirmed,confirmed propose hint
AAPL,2026-07-10,single_name,non_trend,open_auction,gap_partial,vol_contract,rvol_low,,laggard,-0.47,0.53,0.52,0.66,-0.28,0.43,confirmed,confirmed propose hint
NVDA,2026-07-10,single_name,trend,open_drive,gap_and_fade,vol_expand,rvol_normal,,leader,-0.38,1.33,1.01,1.00,4.03,0.43,confirmed,confirmed trend — gap fade then full recovery to highs (visual guide l3-gap-and-fade)
QQQ,2026-07-10,tape_index,non_trend,open_auction,gap_and_fade,vol_contract,rvol_low,,beta_proxy,-0.36,0.60,0.56,0.91,0.31,0.43,confirmed,confirmed propose hint
